word,socialMediaCount
gas,11600.0
tear,11600.0
bill,10550.0
governor,10325.0
weakening,10205.0
totally,8900.0
president,8620.0
former,8610.0
fence,8425.0
patrol,8175.0
tale,8000.0
trees,8000.0
christmas,8000.0
handmaids,8000.0
conjure,8000.0
users,8000.0
melania,8000.0
red,8000.0
grab,7933.333333333333
proud,7800.0
boys,7800.0
imploding,7800.0
power,6052.5
wisconsin,6035.0
walker,6000.0
scott,6000.0
bush,5966.666666666667
hw,5966.666666666667
migrants,5753.333333333333
cohen,5600.0
republican,5235.0
george,5087.5
understand,4850.0
biden,4810.0
joe,4810.0
obamas,4666.666666666667
goes,4650.0
tweet,4466.666666666667
attacks,4450.0
most,4410.0
twitter,4337.5
country,4167.5
border,4166.666666666667
change,4146.666666666667
funeral,4060.0
run,3966.6666666666665
person,3700.0
comey,3650.0
michael,3500.0
sanders,3500.0
bernie,3500.0
people,3466.6666666666665
2020,3400.0
harris,3300.0
kamala,3300.0
decide,3300.0
climate,3282.0
alexandria,3271.4285714285716
ocasio-cortez,3271.4285714285716
michelle,3250.0
migrant,3216.6666666666665
book,3200.0
giuliani,3200.0
warning,3133.3333333333335
trump,3106.896551724138
mike,3100.0
leave,3062.5
presidential,2920.0
stop,2895.0
troops,2893.3333333333335
eyes,2855.0
slams,2830.0
right,2800.0
some,2766.6666666666665
because,2576.6666666666665
rips,2566.6666666666665
obsessed,2500.0
being,2500.0
burns,2500.0
conway,2450.0
james,2450.0
pence,2450.0
john,2350.0
her,2333.3333333333335
holiday,2323.3333333333335
like,2300.0
weak,2300.0
clinton,2300.0
illegal,2266.6666666666665
democrat,2257.5
but,2190.0
lets,2190.0
campaign,2100.0
government,2066.6666666666665
saudi,2060.0
arabia,2060.0
wage,2050.0
donald,2020.7692307692307
thanksgiving,2020.0
prison,2000.0
woman,2000.0
mercy,2000.0
voting,2000.0
showing,2000.0
8,2000.0
time,1940.0
how,1900.0
than,1875.0
doubt,1775.0
look,1756.6666666666667
chief,1706.6666666666667
khashoggi,1663.3333333333333
asylum,1663.3333333333333
white,1658.3333333333333
one,1655.0
lawyer,1650.0
texas,1613.3333333333333
house,1593.75
2,1570.0
got,1536.6666666666667
news,1525.0
it,1510.0
while,1475.0
carolina,1430.0
north,1430.0
years,1413.3333333333333
you,1400.0
fox,1304.0
federal,1290.0
email,1270.0
should,1266.6666666666667
what,1240.0
times,1200.0
2018,1200.0
surprise,1200.0
reaches,1100.0
ivanka,1050.0
year,1016.6666666666666
child,1010.0
if,986.6666666666666
now,985.0
nancy,970.0
hearing,910.0
paul,896.0
russia,866.0
may,860.0
ryan,860.0
thinks,840.0
report,832.0
vote,756.6666666666666
election,745.0
rep,736.0
plea,712.0
host,710.0
gop,710.0
deal,690.0
law,670.0
rules,620.0
mueller,618.0
court,617.5
office,600.0
killing,545.0
make,545.0
really,540.0
chris,525.0
administration,493.3333333333333
governors,490.0
staff,486.6666666666667
manafort,430.0
lawmakers,425.0
probe,415.0
mexico,403.3333333333333
seekers,395.0
julian,390.0
assange,390.0
trump’s,370.0
putin,360.0
candidates,350.0
guilty,350.0
everything,350.0
cohen’s,350.0
here’s,350.0
kids,340.0
release,305.0
ice,295.0
business,260.0
would,260.0
off,255.0
i,250.0
agree,235.0
outside,230.0
details,215.0
whose,205.0
asylum-seeker,205.0
wont,195.0
supreme,180.0
here,125.0
